artistName,albumName,trackName,uri
William Black,Stay,Stay - Afinity Remix,spotify:track:4ua1RUmrzlORhk0TDfrTK6
Clarx,Done,Done,spotify:track:5gYR3jvgmcGdJGovqQ2g4H
Trivecta,Break Me,Break Me,spotify:track:3cjkfbF4rgqymxtRn7Iv15
Raven & Kreyn,Dum Dum,Dum Dum,spotify:track:42UU54WpkAm5aLfGucwY6F
SABAI,Broken Glass,Broken Glass,spotify:track:2PnQicmxjD9DGm790aLqNp
k?d,Find Paradise,Electronic Memories (feat. Mickey Kojak),spotify:track:2viJufnGlsjR1X51CEHpeg
SABAI,Love For You,Love For You,spotify:track:7ao8imeoghP0rWSOrIJalv
Kizz Daniel,King Of Love,We Wan Comot,spotify:track:1PJUwqQNNWerJeVYFm1GEO
Sam Feldt,Mi Amor (with JVKE & Anitta),Mi Amor (with JVKE & Anitta),spotify:track:5u2EjRHBYRLFvfMXpBAewy
Lil Nas X,MONTERO,THATS WHAT I WANT,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO
Maazel,The Truth,The Truth,spotify:track:6pYH3KiWTMIIQGt9wlsspt
Azertion,Reality (ft. Dayce Williams),Reality (ft. Dayce Williams),spotify:track:1yZScuaxS2dUGzHe4u8Mfu
WRLD,Drowning,Drowning,spotify:track:0CBp6PqBGRrEhkW9zcqXPB
BEAUZ,Illusion,Illusion,spotify:track:2Uk3eji99feKwQWknWUx4P
3rd Prototype,I Know,I Know,spotify:track:3yKUaCY0MZoZequHYQg6ZE
Niklas Dee,Not Fair,Not Fair,spotify:track:0QlOkt8nkZ8zqu8xb2SHU8
Cartoon,NCS: The Best of 2016,C U Again,spotify:track:5B2KdpqWRwcnO2Cfxh7MSX
David Guetta,Don't Leave Me Alone (feat. Anne-Marie),Don't Leave Me Alone (feat. Anne-Marie),spotify:track:2lYTJK94hb0fd1LQtb6Dhk
Afinity,Your Imagination,Your Imagination,spotify:track:0M0ac58ggq3FHG849kCfGR
Half an Orange,Mostly We Grow Trilogy,Arcade,spotify:track:6SdjA49PZ8XCasG4SqWr3n
Timaya,Chulo Vibes,The Mood,spotify:track:6gHUiXF4BiJ9d7biTNmdKR
Fonzi M,Giorno's Theme: Il Vento D'oro (JoJo's Bizarre Adventure: Golden Wind),Giorno's Theme: Il Vento D'oro (JoJo's Bizarre Adventure: Golden Wind),spotify:track:7n8G9Zs46X9FdFX1trpi3f
Omah Lay,Moving,Moving,spotify:track:2YNLzBRGyCAzHEGPO3J2Sb
Koven,Looking For More,Looking For More,spotify:track:6QGid2MUj1SHI0SXRlHJy4
William Black,Pieces (Remixes),Need You Now - Cinema Kid Remix,spotify:track:0pjjuGvHjEjXcbnDZDppXu
FLOTE,Darkest Days (feat. Sandra Yvette),Darkest Days (feat. Sandra Yvette),spotify:track:6meFLb7oAeZEZ9FWWyTJul
Major Lazer,Peace Is The Mission : Extended,Lean On (feat. MØ & DJ Snake),spotify:track:2YWjW3wwQIBLNhxWKBQd16
PNL,Deux frères,Deux frères,spotify:track:6hzi3AGB39FjxFqcjgbWs7
Olamide,Unruly,Trumpet,spotify:track:3Q3cmIGrJM7fDpXdo0gEPG
Vicetone,Nevada,Nevada,spotify:track:02shCNmb6IvgB5jLqKjtkK
Trivecta,Now You Know (feat. Aloma Steele),Now You Know (feat. Aloma Steele),spotify:track:0daoEpTjVv31xcwL91TOj4
Athena,Eternal,Eternal,spotify:track:5IPNnqPAvdVEcYanVKihca
The Chainsmokers,World War Joy,Who Do You Love,spotify:track:2fVHrSxsQbJUuj9MW9zG1e
Knock2,dashstar* (VIP),dashstar* - VIP,spotify:track:4FKRT4uPFx2L4exy9DCs1o
Soprano,Phoenix,Ninja,spotify:track:2imLYhuE0rBYnSrhXDOaRX
Soprano,L'Everest,Roule,spotify:track:4aie3id34NbdlJEaWNlKyZ
Unknown Brain,Perfect 10,Perfect 10,spotify:track:2MolFsdE7ydCQQgsmfvX6w
Trivecta,Ghost in the Machine,Ghost in the Machine,spotify:track:6OiZOyPJTWx7DorS1hdsY3
William Black,You're Not Alone,You're Not Alone,spotify:track:4idjrwbfYRg5QlqJqdBQyT
Wande Coal,Come My Way,Come My Way,spotify:track:3PnkEOvEKu7s2qQJ5mHpNl
Connor Price,Spin The Globe,Spinnin,spotify:track:4r0kug4vaNx3d8qyDLhQes
Arlow,How Do You Know,How Do You Know,spotify:track:2FS2TQiR7FHdkCD7aK2Xax
Bishu,Solid Ground,Solid Ground,spotify:track:390rAc1GhIjAjXZuZrq15k
Madeon,Good Faith,All My Friends,spotify:track:3ArdPRbscsYB2uI70AzpuG
Fairlane,Ocean Avenue,Ocean Avenue,spotify:track:27FPkuEnyCAMP7UXQOHu2Z
Alan Walker,"Fire! (feat. YUQI ((G)I-DLE), JVKE)","Fire! (feat. YUQI ((G)I-DLE), JVKE)",spotify:track:5B8VpcIC3EAI3wke3XQoRy
melvitto,ovrdose.,Je M'appelle,spotify:track:5SI6uICAdqQl5q7Cn1sGPs
Syence,hate me like u love me,hate me like u love me,spotify:track:42WEv3u02DH3mWGbYEZKLW
Linkin Park,Meteora,Faint,spotify:track:7AB0cUXnzuSlAnyHOqmrZr
