artistName,trackName,msPlayed
Cartoon,Don't Be A Stranger,18.119483333333335
Sainte Vie,High Seas,18.029883333333334
Koven,My Love,18.019966666666665
Wande Coal,Iskaba,18.00445
Ruth B.,Dandelions,17.977833333333333
Oxlade,KU LO SA - A COLORS SHOW,17.972416666666668
Knock2,Rock Ur World,17.95385
JVKE,save your breath,17.928683333333332
Cinema Kid,In My Arms Tonight,17.90285
Janusz Olejniczak,"Polonaise in D Minor, WN 11",17.889833333333332
Jim Yosef,Canary,17.881216666666667
Nick Smith,Forget About Me,17.8764
Conro,Fighters,17.868283333333334
Janusz Olejniczak,"Polonaise in B-Flat Major, WN 15",17.854866666666666
Squiid,Wanna Go Back,17.774616666666667
Bayanni,Ta Ta Ta,17.767583333333334
Killrude,Make Me Crazy,17.765083333333333
King Serenity,All for U (Ameyatchi),17.761116666666666
Dmitri Shostakovich,"24 Preludes, Op. 34: No. 24 in D Minor. Allegretto",17.745083333333334
Sabrina Carpenter,Espresso,17.692183333333332
Soprano,Facile à danser,17.626316666666668
Hallmore,Dreams Beyond,17.62015
Keepsake,This Time Around,17.583666666666666
BLAEKER,9 To 5,17.577766666666665
Craig Reever,Own Tonight,17.540766666666666
Zack Merci,Top Down,17.470183333333335
SLANDER,Hurts Sometimes (with Jonathan Mendelsohn),17.4307
Over Easy,Neon Light,17.38925
Lvly,The Sun Goes Down,17.334066666666665
KATSEYE,Gameboy,17.32885
DJ Mayson,Not Like Them,17.306266666666666
Grant,Distraction,17.270466666666668
Myles Smith,Stargazing,17.2533
Grant,Contagious,17.252816666666668
Hoober,Higher,17.252333333333333
Chop Daily,Yanna,17.240433333333332
CKay,love nwantiti (feat. ElGrande Toto) - North African Remix,17.223933333333335
Tyla,Jump,17.158283333333333
Unknown Brain,Perfect 10,17.1547
Daxten,Unchained,17.134333333333334
Cartoon,On & On,17.12035
Hallmore,Immortal Call,17.100816666666667
Velee,Not Gonna Defend My Beating Heart,17.099933333333333
BLAEKER,Waste Our Time,17.096783333333335
Chris Later,There's Nobody Else,17.093166666666665
Rob Gasser,Supersonic,17.0881
Ray,Right For Me,17.050933333333333
Ed Sheeran,Shape of You,17.019866666666665
CG5,Lyin' 2 Me,16.954733333333333
Tollef,Take Our Time,16.926033333333333
Porter Robinson,Shelter,16.855783333333335
Throttle,For Me,16.816866666666666
Primex,LOYALTY,16.71105
Ajebo Hustlers,Ave Maria,16.696983333333332
Franz Liszt,"Schwanengesang, S. 560: Schubert - Schwanengesang, S. 560/R. 245: No. 7, Standchen (Leise flehen meine Lieder) [After F. Schubert]",16.694
Tape Machines,Trip With You,16.68795
Audien,Learn to Love Again,16.6431
DJ Mayson,Drunk On You,16.559
Tesher,Jalebi Baby (Tesher x Jason Derulo),16.558533333333333
Slushii,LUV U NEED U,16.53605
KATSEYE,Touch,16.532083333333333
Basixx,Just Wanna Be Friends,16.516583333333333
Pétrole Brut,Banquise,16.515716666666666
Maazel,Mirrors,16.449783333333333
Hallman,Honesty,16.414466666666666
Tate McRae,greedy,16.402816666666666
Martin Garrix,Told You So,16.37095
Em Beihold,Numb Little Bug,16.3605
LVTHER,Some Kind Of Magic,16.3469
Abandoned,Finally Healing,16.316933333333335
RandJess,À quoi elles rêvent ?,16.2889
Suedo,Not Letting Go,16.245366666666666
Netrum,Always Be,16.223516666666665
